feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Clostridia_bacterium_UC5_1_1D1	Age	Age	-0.593086242102726	0.312080553658725	53	15	0.0632687582418574	0.480817940218561
s__Dorea_sp_AF36_15AT	Antibiotics	Yes	-1.30253155216605	0.685596196432774	53	14	0.0633458556160962	0.480817940218561
s__Prevotella_histicola	Age	Age	0.3669310625129	0.19399480976797	53	6	0.0644830723021955	0.483623042266466
s__Streptococcus_anginosus	Antibiotics	Yes	-2.82315813510864	1.50521055028466	53	25	0.0666761037508537	0.489698216930484
s__Ruminococcus_sp_NSJ_71	Age	Age	0.397568195940828	0.212107841485515	53	6	0.0668476931047962	0.489698216930484
s__Faecalibacillus_intestinalis	Antibiotics	Yes	-1.23065010388423	0.666519319044526	53	16	0.0708810846864922	0.513276820143564
s__Veillonella_atypica	Age	Age	-1.40652713122886	0.769263337584939	53	32	0.0735788551066476	0.526757712695318
s__Phascolarctobacterium_faecium	Response	PNR	0.869250177993709	0.476924026222703	53	9	0.074466073988724	0.5271194001449
s__Lactobacillus_delbrueckii	Response	PNR	1.06767918805131	0.58853637251059	53	7	0.0757835217132251	0.530484651992576
s__Lacrimispora_amygdalina	Antibiotics	Yes	-1.79438094252188	0.994974877716914	53	22	0.0774686876827921	0.536321683957792
s__Mediterraneibacter_glycyrrhizinilyticus	Antibiotics	Yes	-1.36565692123096	0.76228274255614	53	10	0.0793840534204135	0.543608191900658
s__Clostridium_sp_AT4	Age	Age	-0.819263026134122	0.459712826484001	53	12	0.0809267398041415	0.548213398673217
s__Clostridium_paraputrificum	Response	PNR	-0.606252683397597	0.342424824885817	53	6	0.0828698696417353	0.555404445471205
s__Acidaminococcus_intestini	Age	Age	-0.405834459431014	0.230828958380145	53	7	0.0849650653122605	0.56345253838657
s__Bifidobacterium_dentium	Response	PNR	1.91945862826774	1.10081001855328	53	22	0.0874867022568941	0.574131483560868
s__Lactobacillus_gasseri	Response	PNR	2.12557837500825	1.23239341202839	53	14	0.0908747919150834	0.590217720685593
s__Bacteroides_fragilis	Age	Age	1.28637257453377	0.760926388922085	53	25	0.0972783754397636	0.595003655602438
s__Bacteroides_stercoris	Antibiotics	Yes	-2.26454783005761	1.33848251999234	53	18	0.0970203937218963	0.595003655602438
s__Granulicatella_adiacens	Age	Age	-0.258209511086947	0.150958730098736	53	6	0.0935053761620817	0.595003655602438
s__Lactococcus_lactis	Age	Age	0.584913973464656	0.343475962388922	53	10	0.0949181252729429	0.595003655602438
s__Roseburia_hominis	Response	PNR	2.71459352708352	1.59423300336161	53	14	0.0949496504221814	0.595003655602438
s__Phascolarctobacterium_succinatutens	Response	PNR	-1.64492205410086	0.970503432063222	53	14	0.0964383050406675	0.595003655602438
s__Actinomyces_sp_ICM58	Antibiotics	Yes	-1.06609379668448	0.633529704006671	53	8	0.0987792002811229	0.598374001702956
s__Clostridia_bacterium	Age	Age	-1.08206683153691	0.646240345766727	53	25	0.100423509506353	0.599575492133372
s__Flavonifractor_plautii	Age	Age	-0.623462635359097	0.373687003547012	53	28	0.101613306792134	0.599575492133372
s__Phascolarctobacterium_faecium	Antibiotics	Yes	0.782691935256215	0.469434014077286	53	9	0.101832662949636	0.599575492133372
s__Bacteroides_xylanisolvens	Response	PNR	2.38153396200617	1.43372974761816	53	23	0.103084446421204	0.601325937457023
s__Collinsella_tanakaei	Antibiotics	Yes	-1.7612331427695	1.08541491811331	53	7	0.111084565935192	0.604479811602451
s__Slackia_isoflavoniconvertens	Antibiotics	Yes	-1.56774810529672	0.98002783850005	53	9	0.116094497942069	0.604479811602451
s__Bacteroides_faecis	Response	PNR	0.801665298884838	0.506611893096589	53	11	0.119991043633748	0.604479811602451
s__Bacteroides_thetaiotaomicron	Antibiotics	Yes	-1.99813529981153	1.24908784280493	53	33	0.116099380111096	0.604479811602451
s__Phocaeicola_dorei	Response	PNR	2.42135805729158	1.52449617259553	53	27	0.11865093433956	0.604479811602451
s__Alistipes_onderdonkii	Response	PNR	2.39841421798923	1.48971567709926	53	24	0.113826256646974	0.604479811602451
s__Lactobacillus_delbrueckii	Age	Age	-0.469316484985294	0.292834517418868	53	7	0.11543559672983	0.604479811602451
s__Limosilactobacillus_oris	Response	PNR	1.50342326112997	0.935093984306151	53	6	0.114309221252038	0.604479811602451
s__Clostridiales_bacterium	Response	PNR	1.16544900875952	0.725928035546247	53	14	0.114818836696743	0.604479811602451
s__Blautia_massiliensis	Age	Age	-0.64253613609882	0.400791305730419	53	28	0.115324777001537	0.604479811602451
s__Enterocloster_lavalensis	Age	Age	0.478425296927151	0.303175800294904	53	10	0.120989854092605	0.604479811602451
s__Fusicatenibacter_saccharivorans	Age	Age	-0.861178460632255	0.539756190109337	53	25	0.117031849577255	0.604479811602451
s__Roseburia_faecis	Antibiotics	Yes	-0.94723355148765	0.583697882200232	53	8	0.111046185023007	0.604479811602451
s__Dielma_fastidiosa	Antibiotics	Yes	-0.506895496742054	0.313096698163024	53	7	0.111872282775406	0.604479811602451
s__Turicibacter_sanguinis	Antibiotics	Yes	-0.790303112782738	0.50063714046286	53	8	0.120863734492084	0.604479811602451
s__Veillonella_atypica	Antibiotics	Yes	-2.44727860170439	1.52177844556292	53	32	0.114223093017925	0.604479811602451
s__Fusobacterium_pseudoperiodonticum	Age	Age	-0.578577558335802	0.367516222862923	53	11	0.121855454084939	0.604479811602451
s__Desulfovibrio_piger	Age	Age	-0.707011631171305	0.445348695635301	53	9	0.118821725274237	0.604479811602451
s__Klebsiella_pneumoniae	Age	Age	-0.925509158833485	0.576809784833835	53	9	0.115023878562048	0.604479811602451
s__Collinsella_tanakaei	Age	Age	-0.852670061103926	0.548680331888567	53	7	0.126611133593528	0.606014352623059
s__Senegalimassilia_anaerobia	Antibiotics	Yes	-1.09251263051065	0.725324265120365	53	8	0.138425525048397	0.606014352623059
s__Bacteroides_caccae	Response	PNR	1.87772787753832	1.27014062448651	53	26	0.145710727416236	0.606014352623059
s__Phocaeicola_massiliensis	Age	Age	-1.02585618725354	0.669526949668749	53	13	0.131902033035993	0.606014352623059
s__Phocaeicola_massiliensis	Response	PNR	1.98676734053426	1.34560968334376	53	13	0.146212986664611	0.606014352623059
s__Limosilactobacillus_fermentum	Age	Age	0.846517604486709	0.56987332373324	53	10	0.143830754691545	0.606014352623059
s__Streptococcus_oralis	Antibiotics	Yes	-1.58799815596722	1.03991779132193	53	25	0.133180357573024	0.606014352623059
s__Streptococcus_parasanguinis	Age	Age	-1.02694453477499	0.684460311599926	53	30	0.139934731052441	0.606014352623059
s__Clostridiaceae_bacterium	Antibiotics	Yes	-1.86612875392809	1.21501354302903	53	25	0.130997621725136	0.606014352623059
s__Clostridiaceae_bacterium_OM08_6BH	Antibiotics	Yes	-1.12987929335014	0.734539163747885	53	15	0.130429192790537	0.606014352623059
s__Eubacterium_sp_AM28_29	Antibiotics	Yes	-0.663516560326325	0.428464665959568	53	8	0.127915223120738	0.606014352623059
s__Anaerotignum_lactatifermentans	Age	Age	-0.478018737130208	0.321544171200409	53	10	0.143517999913115	0.606014352623059
s__Enterocloster_asparagiformis	Response	PNR	0.753809137207287	0.507296125135592	53	11	0.143702422900411	0.606014352623059
s__Enterocloster_bolteae	Antibiotics	Yes	-1.48486733348756	0.98912072715098	53	31	0.139721003046201	0.606014352623059
s__Faecalicatena_fissicatena	Antibiotics	Yes	-0.985415912060396	0.66536866703761	53	12	0.145006732753109	0.606014352623059
s__Ruminococcus_gnavus	Age	Age	-0.861140994792659	0.58106435156647	53	33	0.144741597335044	0.606014352623059
s__Ruminococcus_lactaris	Antibiotics	Yes	-0.923861694924618	0.592428342201814	53	13	0.12532624426264	0.606014352623059
s__Ruminococcus_lactaris	Response	PNR	0.893778385792007	0.601880779275645	53	13	0.143955619728038	0.606014352623059
s__Ruminococcus_torques	Age	Age	-1.22260932124565	0.793273305535612	53	32	0.129696929620937	0.606014352623059
s__Dielma_fastidiosa	Age	Age	-0.247708791959623	0.158271272482519	53	7	0.123997842685373	0.606014352623059
s__Firmicutes_bacterium_AF16_15	Age	Age	-0.684259601970546	0.447064326883815	53	18	0.13230871751501	0.606014352623059
s__Anaeroglobus_geminatus	Antibiotics	Yes	0.984593377043384	0.64645466839185	53	12	0.134170370557472	0.606014352623059
s__Megasphaera_micronuciformis	Response	PNR	1.58522110473171	1.0150296394106	53	19	0.124783321757755	0.606014352623059
s__Veillonella_atypica	Response	PNR	2.30372863461422	1.5460590445355	53	32	0.142616433471041	0.606014352623059
s__Veillonella_parvula	Age	Age	-1.19627964273152	0.805937511717455	53	39	0.144125466721374	0.606014352623059
s__Alistipes_onderdonkii	Age	Age	-1.07537894075303	0.741228905757789	53	24	0.153206031554472	0.615600358806939
s__Mogibacterium_diversum	Response	PNR	1.11091522243593	0.762486356471399	53	9	0.15150520613788	0.615600358806939
s__Roseburia_inulinivorans	Age	Age	-1.36612860001495	0.940179737833803	53	25	0.152584302426853	0.615600358806939
s__Anaeroglobus_geminatus	Age	Age	0.473859032322412	0.326784675689455	53	12	0.153411517988396	0.615600358806939
s__Aggregatibacter_sp_oral_taxon_458	Antibiotics	Yes	-0.456957292843948	0.314931791162246	53	6	0.153159768793188	0.615600358806939
s__Bacteroides_eggerthii	Age	Age	-0.734943387851997	0.510085657294622	53	9	0.155994508630176	0.618091449289377
s__Phascolarctobacterium_succinatutens	Antibiotics	Yes	-1.37691777146583	0.955261837818337	53	14	0.155831393857957	0.618091449289377
s__Bacteroides_ovatus	Antibiotics	Yes	-2.38705826295118	1.66517320407694	53	36	0.158059911738606	0.622360902470761
s__Phocaeicola_dorei	Antibiotics	Yes	-2.12877315157584	1.50055421492395	53	27	0.162328286140577	0.623578172369289
s__Streptococcus_constellatus	Response	PNR	1.11212096034108	0.782549769826515	53	10	0.161606220412498	0.623578172369289
s__Dorea_sp_AF36_15AT	Age	Age	-0.491924253832514	0.346570829571926	53	14	0.162111700429553	0.623578172369289
s__Ruminococcus_bromii	Age	Age	-0.452247047001211	0.317545638930433	53	6	0.160727505492304	0.623578172369289
s__Bifidobacterium_catenulatum	Antibiotics	Yes	-0.726068994132116	0.51738283011758	53	6	0.166818166673358	0.636942090934641
s__Parabacteroides_distasonis	Age	Age	-0.812256498531178	0.585498651243536	53	42	0.171631154248385	0.640680657894254
s__Anaerotignum_faecicola	Antibiotics	Yes	-1.50217740234367	1.08055444523241	53	14	0.170753833562252	0.640680657894254
s__Catenibacterium_sp_AM22_15	Antibiotics	Yes	-0.763029956667636	0.550320854789672	53	6	0.171865128863697	0.640680657894254
s__Parasutterella_excrementihominis	Antibiotics	Yes	1.15020761626472	0.828996910106764	53	9	0.171576925226369	0.640680657894254
s__Enterocloster_aldensis	Antibiotics	Yes	-1.13474127675182	0.822378030622784	53	20	0.173903294275168	0.644465149372682
s__Coprococcus_comes	Age	Age	-0.823565256620834	0.600354884407748	53	23	0.1763751512885	0.64959279587069
s__Catenibacterium_sp_AM22_15	Age	Age	-0.380744799580076	0.278188759166912	53	6	0.177349144269458	0.64959279587069
s__Erysipelatoclostridium_ramosum	Response	PNR	1.78228363866656	1.31390475820674	53	37	0.181164321180239	0.658012537645308
s__Fusobacterium_pseudoperiodonticum	Response	PNR	1.0006000273203	0.738631041685393	53	11	0.181736796111561	0.658012537645308
s__Gemella_morbillorum	Antibiotics	Yes	-0.434748778934795	0.321761565728554	53	6	0.182852703587726	0.658269732915812
s__Streptococcus_sp_263_SSPC	Response	PNR	1.20255687035344	0.89411653440471	53	18	0.184828364233074	0.661601531061572
s__Haemophilus_parainfluenzae	Age	Age	-0.826394415003211	0.618033431950801	53	28	0.187352993334018	0.666849637290574
s__Actinomyces_sp_ICM58	Response	PNR	0.84034468718333	0.643637930158157	53	8	0.197779793598205	0.668546201447448
s__Bifidobacterium_adolescentis	Antibiotics	Yes	-1.27282049401921	0.972681890892407	53	12	0.196785353248026	0.668546201447448
s__Bacteroides_fragilis	Response	PNR	-1.99012246911743	1.5293035145963	53	25	0.199232571819681	0.668546201447448
s__Phocaeicola_dorei	Age	Age	-0.986497404744652	0.758534428559707	53	27	0.199502675987492	0.668546201447448
s__Phocaeicola_vulgatus	Antibiotics	Yes	-2.22769526278937	1.6949870764721	53	41	0.194869758041848	0.668546201447448
s__Prevotella_marseillensis	Age	Age	-0.660228085328967	0.506307882552147	53	6	0.198324593581657	0.668546201447448
s__Prevotella_marseillensis	Response	PNR	1.33302647574725	1.01757336258461	53	6	0.196302415976281	0.668546201447448
s__Alistipes_putredinis	Age	Age	-0.807642961186373	0.620306134219826	53	24	0.199001470408216	0.668546201447448
s__Clostridium_phoceensis	Antibiotics	Yes	-1.72309495110053	1.30493418735525	53	18	0.19282088587502	0.668546201447448
s__Acidaminococcus_intestini	Response	PNR	0.612802605291005	0.463918116733241	53	7	0.192661124331967	0.668546201447448
s__Klebsiella_pneumoniae	Antibiotics	Yes	1.48914724497968	1.14106139583572	53	9	0.197969829007474	0.668546201447448
s__Isoptericola_variabilis	Age	Age	-0.290992713976211	0.225765067446234	53	8	0.203478543912623	0.671159595104463
s__Parabacteroides_distasonis	Antibiotics	Yes	-1.49576413709104	1.1582499565959	53	42	0.202623848972688	0.671159595104463
s__Lachnospira_eligens	Response	PNR	1.20786604507866	0.933786927852056	53	11	0.201898167617158	0.671159595104463
s__Eggerthellaceae_bacterium	Age	Age	-0.416020788478481	0.326025652902491	53	8	0.207958012286594	0.676879606585476
s__Lactobacillus_gasseri	Antibiotics	Yes	-1.54481529164874	1.2130388794058	53	14	0.208845892451017	0.676879606585476
s__Mogibacterium_diversum	Age	Age	-0.485476151125701	0.379385768942863	53	9	0.206698665181342	0.676879606585476
s__Oscillibacter_sp_ER4	Response	PNR	0.778875846590228	0.61250605313507	53	7	0.209510354419314	0.676879606585476
s__Lacticaseibacillus_paracasei	Age	Age	0.556328466099641	0.441785937056602	53	7	0.213898068156182	0.680584762315123
s__Enterocloster_citroniae	Antibiotics	Yes	-1.46443468467105	1.16118555323812	53	26	0.213224618495884	0.680584762315123
s__Dialister_invisus	Antibiotics	Yes	-1.40738795966676	1.116303295975	53	17	0.213366483863519	0.680584762315123
s__Streptococcus_anginosus	Response	PNR	1.91889718949293	1.52922680169584	53	25	0.21549796684213	0.68222974427408
s__Slackia_isoflavoniconvertens	Response	PNR	-1.2412140643639	0.995664584438968	53	9	0.218463916916973	0.683126640739027
s__Butyricimonas_paravirosa	Age	Age	0.348904796900657	0.280233119881485	53	9	0.219034256236958	0.683126640739027
s__Limosilactobacillus_fermentum	Antibiotics	Yes	1.40625503687578	1.12733949271668	53	10	0.218176108944973	0.683126640739027
s__Blautia_sp_OF03_15BH	Antibiotics	Yes	-0.586858179362375	0.475515667866753	53	7	0.223033114756829	0.688778736749032
s__Enterocloster_citroniae	Response	PNR	1.45620263734578	1.17971274478374	53	26	0.222952090444295	0.688778736749032
s__Eubacterium_ventriosum	Age	Age	-0.442143970776117	0.361239572396323	53	7	0.226818840670024	0.697053022546903
s__Clostridium_symbiosum	Antibiotics	Yes	-1.61047567647598	1.31945965884384	53	23	0.228095084979312	0.697331783691159
s__Dialister_pneumosintes	Response	PNR	-0.788015339373035	0.647068959321618	53	14	0.229123300355666	0.697331783691159
s__Trueperella_pyogenes	Age	Age	-0.261255260665101	0.216019227982851	53	7	0.23230934875157	0.700262630208082
s__Bacteroides_nordii	Age	Age	0.42418536342556	0.34989655399459	53	9	0.231204337898411	0.700262630208082
s__Adlercreutzia_equolifaciens	Response	PNR	0.882218978752429	0.741814185385022	53	10	0.240063798118961	0.717862222419884
s__Streptococcus_anginosus	Age	Age	-0.901976395090396	0.760888219343731	53	25	0.241566335163516	0.717862222419884
s__Roseburia_inulinivorans	Response	PNR	2.23998211034449	1.88956540127128	53	25	0.241557455371666	0.717862222419884
s__Coprobacter_fastidiosus	Antibiotics	Yes	-0.463890677748538	0.393738638422674	53	8	0.244419442066062	0.722930744139058
s__Bifidobacterium_adolescentis	Response	PNR	-1.14424899334233	0.988201429225675	53	12	0.252513384363839	0.727595940443795
s__Rothia_mucilaginosa	Antibiotics	Yes	-0.771658372538129	0.668517445013783	53	16	0.25398284738451	0.727595940443795
s__Bacteroides_intestinalis	Antibiotics	Yes	0.631325232271973	0.544671551395925	53	7	0.252035592023268	0.727595940443795
s__Alistipes_putredinis	Response	PNR	1.44039972676425	1.24668609868012	53	24	0.253536710356744	0.727595940443795
s__Eubacterium_ramulus	Age	Age	-0.418137476202336	0.359998839231594	53	13	0.251066769043687	0.727595940443795
s__Eubacterium_ramulus	Response	PNR	0.834974826559303	0.723522666715976	53	13	0.254081122059738	0.727595940443795
s__Anaerotignum_faecicola	Response	PNR	1.28344991369858	1.09779513439398	53	14	0.248012943332499	0.727595940443795
s__Streptococcus_constellatus	Age	Age	-0.446671358565001	0.389368601342087	53	10	0.256882633133198	0.728991256188806
s__Blautia_sp_OF03_15BH	Response	PNR	-0.554318314215228	0.483102715291638	53	7	0.256782569402434	0.728991256188806
s__Anaerotignum_lactatifermentans	Response	PNR	0.73721406526598	0.646236795403204	53	10	0.259506496692445	0.733134945812736
s__Odoribacter_splanchnicus	Age	Age	-0.730812097052365	0.645484962709161	53	24	0.263064454170453	0.733321266050377
s__Alistipes_senegalensis	Response	PNR	-0.800708448561372	0.704264284489378	53	8	0.261091602827162	0.733321266050377
s__Blautia_producta	Antibiotics	Yes	-0.677831221403552	0.597842534019025	53	9	0.262397059215273	0.733321266050377
s__Desulfovibrionaceae_bacterium	Antibiotics	Yes	0.597869850772024	0.529521253720428	53	7	0.264363119380788	0.733695000924654
s__Alistipes_ihumii	Response	PNR	1.26077749480528	1.12199384303376	53	16	0.266618163007512	0.733710646555085
